Address,Establishment Name,Code Description,Date Cited,Date Corrected,Status
"496 Massachusetts Ave
Cambridge, MA
(42.364078, -71.1015)",Clover,Permit to Operate,04/21/2015 12:00:00 AM,05/07/2019 06:00:32 AM,Cited
"50 Memorial Dr
Cambridge, MA
(42.360478, -71.083461)",MIT,Permit to Operate,12/16/2015 12:00:00 AM,05/07/2019 06:00:39 AM,Cited
"581 Massachusetts Ave
Cambridge, MA
(42.364865, -71.102824)",Go Go Curry,Permit to Operate,04/16/2014 12:00:00 AM,04/17/2014 12:00:00 AM,Corrected
"84 Massachusetts Ave
Cambridge, MA
(42.359495, -71.094)",Shinkansen,PHF's Properly Thawed,05/07/2013 12:00:00 AM,05/08/2013 12:00:00 AM,Cited
"1674 Massachusetts Ave
Cambridge, MA
(42.382285, -71.119732)",Evergood Market,Permit to Operate,10/08/2013 12:00:00 AM,01/13/2014 12:00:00 AM,Corrected
"16 Eliot St
Cambridge, MA
(42.371998, -71.121652)",IHOP,Installed And Maintained,11/20/2017 12:00:00 AM,12/04/2017 12:00:00 AM,Corrected
"18 ELIOT ST
Cambridge, MA
(42.371971, -71.121632)",Takemura,Permit to Operate,01/27/2014 12:00:00 AM,02/03/2014 12:00:00 AM,Corrected
"58 Jfk St
Cambridge, MA
(42.371886, -71.120754)",Shay's,Food Contact Surfaces Clean,01/28/2014 12:00:00 AM,02/05/2014 12:00:00 AM,Corrected
"228 BROADWAY
Cambridge, MA
(42.366606, -71.094143)",Beauty's Pizza,"Water Safe, Hot And Cold Under Pressure",08/02/2013 12:00:00 AM,08/02/2013 12:00:00 AM,Corrected
"2382 Massachusetts Ave
Cambridge, MA
(42.396897, -71.12974)",Qingdao Garden,Cooling,07/26/2016 12:00:00 AM,08/02/2016 12:00:00 AM,Corrected
"1 Rogers St
Cambridge, MA
(42.36581, -71.077496)",Shabu & Mein,Cooling,11/05/2018 12:00:00 AM,11/13/2018 12:00:00 AM,Corrected
"102 Oxford
Cambridge, MA
(42.383162, -71.116139)",Oxford Spa,PIC Knowledgeable,07/24/2013 12:00:00 AM,05/07/2019 06:00:33 AM,Cited
